SYMBOL COLO829_SKIN
LOC100287144 -0.4983
LOC100287177 -0.0195
LOC100287178 -0.4983
LOC100287205 -0.4983
SH3RF3-AS1 0.0086
LOC100287225 -0.0112
ZNF729 -0.0182
TIPARP-AS1 0.3627
LOC100287238 -0.4983
MANSC4 0.003
LOC100287314 0.003
LOC100287327 -0.4983
PRSS46 0.3834
LOC100287364 -0.4983
LOC100287404 -0.4983
PNMA6C 0.0192
LOC100287441 -0.4983
LOC100287478 -0.4983
LOC100287482 0.8841
LOC100287513 -0.4983
LOC100287534 0.5076
ADPGK-AS1 -0.5658
LINC00173 -0.012
LOXL1-AS1 -0.5658
LOC100287632 -0.0287
LOC100287704 0.3811
LOC100287718 0.3405
AP4B1-AS1 -0.5499
LINC00630 0.0182
LOC100287792 0.3857
LINC00582 0.3195
LOC100287846 0.1324
LOC100287879 0.4229
TTC34 -1e-04
LGALS8-AS1 0.3195
TIMM23 -0.57
LOC100287944 -0.012
GM140 0.3004
LOC100288069 -1e-04
WTAPP1 -0.0789
LOC100288079 0.3004
LOC100288122 0.0042
LOC100288123 -0.0298
LOC100288181 0.1492
LOC100288198 -0.0241
KRTAP22-2 -0.0095
KRTAP21-3 -0.0095
LOC100288346 -0.083
ERVMER34-1 0.3239
LOC100288428 -0.5605
LOC100288432 -0.0095
MTRNR2L7 -0.5496
LOC100288520 -0.4983
LOC100288524 0.3951
WHAMMP1 -0.5255
LOC100288637 -0.5255
PAN3-AS1 0.1272
LOC100288748 0.1336
TMEM239 0.3717
FRG2C 0.3844
HYDIN2 0.3592
LOC100288814 -0.0036
LOC100288842 0.2865
LOC100288846 -0.0074
LOC100288911 0.0046
LOC100288974 -0.5546
MOXD2P 0.9128
LOC100289019 0.2865
LOC100289092 0.1337
LOC100289137 0.3263
FAM197Y5 -3.1994
GNG12-AS1 -0.014
LOC100289187 0.3519
LINC00624 0.3592
LOC100289230 -0.5813
LINC00675 0.0663
LOC100289341 0.2865
LOC100289361 0.3627
UBAC2-AS1 0.1343
MCF2L-AS1 0.1709
DEFB4B 0.0763
LOC100289473 0.3717
LOC100289495 -0.0287
LOC100289509 -0.5557
LOC100289511 -0.0193
LOC100289561 0.3469
ZNF605 -0.0085
LOC100289650 0.3665
LOC100289656 -0.5255
LOC100289673 -0.5787
ZNF783 0.3685
LOC100292680 -0.0033
ZNF587B -0.0132
LOC100293534 0.3386
LOC100294145 0.3405
LOC100294362 0.0667
NHEG1 -0.0287
CDH5 -0.5103
MIR1284 0.4199
MIR1200 0.383
MIR1468 0.0182
MIR1265 -0.0221
MIR320B1 -0.5499
MIR1286 0.3914
MIR1538 -0.5103
MIR1276 0.3849
MIR1275 0.3405
MIR1288 0.0663
MIR1471 -0.0055
MIR1470 -0.0182
MIR1915 -0.0221
MIR302F 0.0042
MIR1182 0.3195
MIR1287 -0.5557
MIR1289-2 -0.5807
MIR320C1 0.0042
MIR1252 0.0088
MIR1914 0.3857
MIR1292 0.3717
MIR1537 0.3195
MIR1913 -0.0287
MIR1246 -0.0132
MIR1248 0.3601
MIR1912 0.0182
MIR1247 -0.0193
MIR1249 0.3799
MIR1296 -0.5546
MIR1298 0.0182
MIR1229 -0.558
MIR1185-1 -0.0193
MIR1231 0.2981
MIR548F3 -0.5762
MIR1233-1 -0.5351
MIR1205 0.1492
MIR1278 0.31
MIR2113 -0.0183
MIR1322 0.1755
MIR1257 0.3857
MIR320D2 0.0192
MIR1206 0.1492
MIR1258 -0.0132
MIR1307 -0.5557
MIR1207 0.1492
MIR1295A 0.3004
MIR1270-1 -0.0182
MIR1279 -0.0051
MIR1272 -0.5658
MIR1204 0.1492
MIR548I3 0.1755
MIR1297 0.1303
MIR1243 0.2909
MIR1976 -0.0413
MIR548I4 0.0192
MIR320C2 0.0042
MIR1234 0.1364
MIR1306 0.3914
MIR1228 -0.0051
MIR1266 -0.5658
MIR548I1 0.3637
MIR1283-2 -0.0195
MIR1253 0.0663
MIR1185-2 -0.0193
MIR1909 -0.0298
MIR1203 0.0659
MIR1324 0.3844
MIR1181 -0.0182
MIR1277 0.0192
MIR1827 -0.012
MIR1245A -0.0132
MIR1293 -0.0051
MIR1291 -0.0051
MIR1911 0.0182
MIR2110 -0.5557
MIR2053 0.1492
MIR1238 -0.0182
MIR1250 0.0667
MIR1226 0.3596
MIR664 0.3267
MIR1179 0.3849
MIR1260A -0.0193
MIR1281 0.3799
MIR103B1 -0.5762
MIR548F5 0.0182
MIR1304 -0.0789
MIR1236 0.3386
MIR1972-1 -0.5103
MIR1301 0.014
MIR1197 -0.0193
MIR1264 0.0182
MIR1282 -0.5658
MIR1323 -0.0195
MIR1180 0.0419
MIR1539 -0.0112
MIR1469 0.3849
MIR2052 0.1324
MIR1910 -0.5482
MIR1908 -0.0818
MIR1283-1 -0.0195
MIR2054 0.3088
MIR1305 0.317
MIR1178 -0.012
MIR548I2 -0.4983
MIR1262 -0.014
MIR1237 -0.0818
MIR1208 0.1492
MIR103B2 0.3717
MIR1227 -0.0298
MIR1251 -0.012
MIR1973 0.303
RASAL2-AS1 0.3004
LOC100302640 0.3637
BRE-AS1 0.014
GPR75-ASB3 0.0026
LINC00184 0.3195
FTX 0.0182
TMED7-TICAM2 -0.5787
PCNA-AS1 0.3717
FAS-AS1 -0.5557
SNORA80B 0.014
NCRUPAR -0.5813
TSNAX-DISC1 0.3195
ZEB2-AS1 -0.0117
SLC25A5-AS1 0.0192
LOC100303749 -0.5792
PET117 0.3857
PITPNA-AS1 0.0663
NDUFAF4P1 -0.5658
OTX2-AS1 -0.0193
SPDYE2L -1.0124
MIR320B2 0.3267
MIR548K -0.0818
MIR548F2 -0.0132
MIR548M 0.0182
MIR670 0.0473
MIR759 0.1303
MIR2117 0.0491
MIR2278 0.294
MIR718 0.0192
MIR663B -0.0117
MIR762 0.1046
MIR764 0.0182
MIR2114 0.0192
MIR548Q -0.5557
MIR2276 0.1635
MIR711 0.3596
MIR548H4 0.1324
MIR2116 -0.5658
MIR2277 -0.5813
MIR761 -0.014
MIR548F4 0.3685
MIR320D1 0.1303
MIR548J 0.3861
MIR449C -0.5593
MIR548G 0.2909
HOTTIP 0.383
SAP25 0.3519
GCSHP3 -0.0132
TRPC5OS 0.0182
LOC100335030 -0.0051
SNORA70F -0.0132
CSN1S2BP 0.2909
LINC00102 -0.0928
CHAF1A -0.0298
SNORA70G -0.0051
SNORA70D -0.5286
MACROD2-AS1 0.4192
TMED11P -0.4983
LOC100379224 -0.0019
BOK-AS1 -0.0055
SNORA70E -0.0968
NPPA-AS1 -0.0204
MIR181A2HG 0.2865
BACE1-AS -0.083
GRIK1-AS2 -0.0095
PARP2 -0.053
ZBED6 0.2981
PARP3 0.3596
CDH6 -0.5556
TOM1L1 0.0659
LOC100419868 -0.5496
HMGXB4 0.3892
LOC100422737 -0.0287
MIR4300 -0.0968
MIR3128 -0.0132
MIR3160-2 0.0473
MIR4274 -0.4983
MIR3160-1 0.0473
MIR4287 0.1737
MIR4319 -0.0112
MIR3191 -0.0195
MIR3188 -0.0182
MIR3183 0.0663
MIR1193 -0.0193
MIR3119-1 0.3004
MIR4317 -0.5426
MIR3074 0.294
MIR1233-2 -0.5351
MIR514B 0.0192
MIR548T 0.2658
MIR4316 0.0659
MIR3182 -0.5482
MIR3187 -0.0298
MIR4301 -0.083
MIR3123 0.3195
MIR4318 0.0042
MIR4285 0.3469
MIR3136 0.4098
MIR4292 0.2865
MIR4306 0.1343
MIR4265 0.0086
MIR4320 -0.0112
MIR3115 -0.029
MIR378C -0.5297
MIR4270 -0.589
MIR3152 -0.551
MIR3117 -0.014
MIR4297 -0.5297
MIR4279 -0.5556
MIR3192 0.3857
MIR3148 0.1737
MIR3202-2 0.0192
MIR3124 0.3191
MIR3162 -0.0818
MIR3170 0.1343
MIR3120 0.3004
MIR4325 0.3857
MIR4280 -0.5813
MIR4264 0.0026
MIR3194 0.3857
MIR4327 -0.0095
MIR3157 -0.5557
MIR3154 0.2865
MIR4260 0.2981
MIR4294 -0.57
MIR3140 0.2688
MIR4302 0.003
MIR4255 -0.014
MIR3190 -0.0195
MIR3158-1 -0.5557
MIR4288 0.1737
MIR3193 0.3857
MIR4311 -0.5658
MIR3156-2 0.0042
MIR3129 -0.0132
MIR4295 -0.5557
MIR2861 0.2865
MIR500B 0.0182
MIR3200 0.3861
MIR320E -0.0195
MIR4253 -0.029
MIR3065 0.0667
MIR3201 0.3799
MIR3167 -0.083
MIR1972-2 -0.5103
MIR548W -0.5103
MIR4303 -0.012
MIR4322 -0.0182
MIR4291 0.294
MIR3127 0.0138
MIR4261 0.014
MIR4330 0.0192
MIR4304 -0.012
MIR4328 0.0182
MIR3143 0.3271
MIR3153 0.2966
MIR4275 -0.504
MIR3142 -0.5762
MIR3147 -0.2725
MIR4305 0.1303
MIR4272 0.4229
MIR3189 -0.0182
MIR3186 0.0667
MIR4326 0.3857
MIR3122 0.3267
MIR4284 0.3602
MIR3141 -0.5762
MIR4271 0.3596
MIR3165 -0.0818
MIR4309 -0.0193
MIR4273 0.3844
MIR3131 -0.0026
MIR4268 -0.0026
MIR4281 -0.5762
MIR4290 0.2966
MIR3150A 0.1336
MIR4263 0.014
MIR4277 -0.5601
MIR3146 0.383
MIR4251 -1e-04
MIR2909 0.0363
MIR4312 -0.5658
MIR3169 0.1372
MIR3178 0.1559
MIR4252 -1e-04
MIR4256 -0.5499
MIR3185 0.0659
MIR4324 -0.0195
MIR4323 -0.0182
MIR3173 -0.0193
MIR4314 0.0663
MIR4308 -0.0193
MIR3125 0.014
MIR3202-1 0.0192
MIR3156-1 -0.5496
MIR3155A -0.5823
MIR3134 0.3637
MIR1260B -0.0789
MIR3151 0.1336
MIR3130-1 -0.0132
MIR4267 0.0022
MIR3175 0.3849
MIR4262 0.014
MIR4257 0.307
MIR3199-2 0.3861
MIR4278 -0.5601
MIR3145 -0.0287
MIR3130-2 -0.0132
MIR3184 0.0419
MIR4282 -0.0613
MIR4329 0.0182
MIR3119-2 0.3004
MIR3138 -0.4983
MIR3177 0.1559
MIR4310 -0.5658
MIR3196 0.3857
MIR4289 0.2966
MIR3156-3 -0.013
MIR4307 -0.0074
MIR4258 0.307
MIR4298 0.0721
MIR3197 -0.0095
MIR1270-2 -0.0182
MIR3198-1 0.3914
MIR4299 0.0721
MIR4266 0.0086
MIR4254 -0.014
MIR3126 0.0026
MIR4321 -0.0298
MIR3121 0.3004
MIR3158-2 -0.5557
MIR3199-1 0.3861
MIR4313 -0.5658
MIR2355 -0.0132
MIR3176 0.1824
MIR3132 -0.0026
MIR4296 -0.5297
MIR4276 0.2982
MIR4269 -0.0055
IGLL5 0.4337
TOM1 0.3892
KLRF2 -0.0123
SH2D3C 0.2865
SH2D3A -0.0298
MAMLD1 0.0192
MINOS1P1 0.1493
MTRNR2L1 0.0419
MTRNR2L2 -0.5813
MTRNR2L3 0.3857
MTRNR2L4 0.1559
MTRNR2L5 -0.5432
MTRNR2L6 0.894
MTRNR2L8 0.0721
MTRNR2L10 0.0182
CST8 0.3857
RANBP9 0.3411
DNAJB6 -0.5733
LOC100498859 0.3627
THAP9-AS1 0.2909
LOC100499183 0.1336
LOC100499194 0.0022
LOC100499227 -0.083
LOC100499405 -0.0317
LINC00674 0.0659
LINC00673 0.0659
C9orf174 0.294
LOC100499484 0.294
LOC100499489 -0.0221
CDH7 0.0099
SLC17A4 0.3533
LOC100500773 0.1336
MIR3659 -0.014
MIR3685 -0.012
MIR3919 0.3627
MIR3654 0.3811
MIR3607 -0.5813
MIR374C 0.0182
MIR3917 -0.0413
MIR23C -0.0036
MIR3620 0.31
MIR3621 0.2865
MIR3677 0.1559
MIR3646 0.3857
MIR3616 0.3857
MIR3649 -0.0033
MIR3612 -0.012
MIR3945 0.317
MIR3609 0.3519
MIR3655 -0.5807
MIR3910-1 -0.4578
MIR3920 -0.0789
MIR3650 -0.5556
MIR3660 -0.5813
MIR3909 0.3892
MIR3614 0.0659
MIR3619 0.3799
MIR3943 0.383
MIR550B2 0.383
MIR3912 -0.5762
MIR3658 0.307
MIR3653 0.3861
MIR3924 -0.5432
MIR3907 -0.5713
MIR3914-1 0.3602
MIR3606 -0.0132
MIR3926-2 0.1812
MIR3656 -0.083
MIR3678 0.0659
MIR3652 -0.012
MIR3922 -0.012
MIR3664 -0.0818
MIR642B -0.0195
MIR3689A 0.2865
MIR3615 0.0659
MIR3916 0.3195
MIR3682 0.0026
MIR3918 -0.0287
MIR3180-4 0.1616
MIR3605 -0.014
MIR3671 -0.014
MIR548Z -0.0051
MIR3939 -0.0287
MIR3622A 0.1737
MIR3921 0.3637
MIR3618 0.3914
MIR3665 0.1343
MIR548AA1 0.1336
MIR3936 -0.5807
MIR3941 -0.5297
MIR3684 0.2909
MIR3913-2 -0.0051
MIR3926-1 0.1812
