SYMBOL A253_SALIVARY_GLAND
LOC100129534 -0.3401
LOC100129550 -0.3965
FAM47E -0.3711
LINC00462 0.0909
LOC100129617 -0.0599
LOC100129620 0.1248
LOC100129636 -0.3987
TCF24 -0.3111
FGF13-AS1 0.0271
ARRDC3-AS1 0.103
LOC100129722 0.4791
LOC100129726 0.085
CCDC152 1.0112
LOC100129794 -0.0549
MRVI1-AS1 -0.1712
ZNF737 0.0441
PCOLCE-AS1 0.5733
LOC100129858 -0.3832
SCXA 0.5355
LOC100129917 -0.3948
LOC100129924 0.112
LOC100129931 -0.3871
LOC100129935 0.0496
LOC100129961 0.0921
HDAC6 -0.772
LOC100130000 0.1056
LOC100130015 -0.697
FTLP10 -0.3885
LOC100130093 -0.2478
MAPT-IT1 0.0818
LOC100130155 0.2758
KIAA0494-AS1 0.112
LOC100130231 0.5355
LOC100130238 -0.2127
LOC100130264 0.4155
CCDC166 0.5355
LOC100130275 -0.4
LOC100130298 0.2758
LOC100130301 -0.2702
FAM48B1 0.0673
C17orf107 0.3247
LOC100130331 -0.3169
SCGB2B3P 0.0441
LOC100130348 0.5219
LOC100130357 -0.4
LINC00552 0.0745
LOC100130417 -0.3401
CECR7 0.579
PP14571 0.0849
LOC100130451 0.0894
LOC100130452 0.0894
LOC100130476 0.1179
LOC100130480 0.2739
TMEM221 0.0441
PARD6G-AS1 -1.0198
LOC100130539 -0.4511
LOC100130557 0.112
LOC100130581 0.0818
CXorf64 0.0479
LOC100130673 0.5951
LOC100130691 0.178
LOC100130700 -0.343
LOC100130705 -0.3989
CECR5-AS1 0.579
LRRC70 0.121
LRRC69 -0.2702
LOC100130744 1.0217
EFCAB10 0.5733
LOC100130776 0.1271
SGK110 0.05
LOC100130849 0.6378
LOC100130855 -0.2525
LOC100130872 -0.3948
LOC100130880 -0.3989
PSORS1C3 0.3791
TSTD3 0.1179
LOC100130894 -0.0896
LOC100130899 0.1642
C17orf110 0.1086
ZNF663 0.3842
LOC100130950 0.3247
LOC100130954 0.4791
SYCE1L -0.0896
LOC100130964 -0.411
C6orf99 0.1179
LOC100130987 0.5219
C7orf72 0.6395
LOC100130992 -0.4126
LOC100131047 -0.3909
LOC100131060 0.112
LOC100131067 0.103
LOC100131089 -0.2471
LOC100131094 0.0441
LOC100131096 0.1086
ZBTB20-AS1 -0.3803
BSPH1 0.0658
LOC100131138 -0.0582
WDR86-AS1 -0.4164
TSTD1 0.0848
KIAA1984-AS1 0.4791
RPL21P28 -0.4153
SNAP25-AS1 0.4424
TMEM194B 0.1544
ZNF503-AS2 -0.402
LOC100131234 -0.2478
ANKRD63 -0.2471
LOC100131257 0.6456
LOC100131289 -0.3987
LOC100131320 0.0822
LOC100131347 0.0926
LINC00605 8e-04
C11orf91 1.5191
SP9 0.178
LOC100131434 0.0555
CD300LD 0.1086
DBIL5P 0.3247
LOC100131496 0.3842
LOC100131551 0.6866
FKSG29 0.0745
LOC100131564 0.1435
LOC100131626 -0.4273
LOC100131635 0.6945
LOC100131655 -1.0198
LOC100131691 0.05
LOC100131726 0.5355
USP30-AS1 -0.3932
ARMCX4 0.0416
PET100 0.0441
LINC00271 0.1179
UBE2DNL 0.4588
LOC100131825 0.0848
ZNF717 -0.3999
FAM196B 0.3392
KRTAP25-1 0.0805
ZNF705G 0.3356
RRN3P3 0.3182
LOC100132077 0.4347
LOC100132078 -0.4273
HERC2P7 -0.255
FAM66E -0.7159
LOC100132111 0.0932
LOC100132146 -0.378
PHKA2-AS1 0.0673
LOC100132215 0.0879
LOC100132247 0.3182
LOC100132273 0.1642
KIAA0664L3 0.3182
LOC100132352 0.4454
LOC100132354 -0.3909
LOC100132356 1.0112
KRTAP4-9 0.0926
ZNF705B -0.7159
GAGE12D -0.772
NBPF10 0.1056
FCGR1C 0.0932
CLDN24 -0.3848
FAM99B -0.1455
KRTAP4-7 0.0926
LOC100132526 -0.1088
XGPY2 -2.6641
ZRANB2-AS1 0.112
BSN-AS2 -0.4081
LOC100132707 -0.4164
CYP4F30P 0.0822
DCAF13P3 -0.2471
LOC100132735 0.1179
LOC100132741 0.4588
KDM4A-AS1 0.112
LOC100132781 0.4347
LOC100132831 -0.7777
LOC100132832 0.0303
LOC100132891 -0.2702
DPH3P1 0.4138
FAM159B 0.121
FAM66D -2.6278
FAM27C 0.2955
CXorf68 0.0555
GOLGA8DP -0.255
LOC100132987 -0.402
LOC100133050 0.103
LOC100133091 0.0303
FAM27B 0.2955
LOC100133123 0.0673
UBE2Q2P3 -0.2501
SPANXB2 5e-04
FAM66A 0.4118
LINC00240 -0.3987
SBF1P1 0.2758
LOC100133267 -2.6278
LOC100133286 -0.4108
LOC100133308 -0.4511
HOXA-AS3 0.6456
LOC100133315 -0.4318
LOC100133445 -0.3401
LOC100133461 -0.3948
MRPL23-AS1 -0.1455
LOC100133612 -0.3401
LOC100133669 0.5355
LOC100133920 0.0879
CD24 -0.4
LOC100133957 -0.7777
LOC100133985 0.0879
MAP3K14-AS1 0.0818
UBOX5-AS1 0.4424
LOC100134229 -0.3989
LOC100134259 0.085
LOC100134317 0.0496
LOC100134368 0.3364
KCNJ18 0.1526
NDUFB2-AS1 -0.3989
LOC100134868 0.4155
UBE2Q2P2 -0.2501
TEN1 0.1086
UPK3BL 0.5733
JMJD7 -0.2471
PLA2G4B -0.2471
HDAC5 0.0818
C17orf99 0.1086
LOC100144595 0.178
LINC00029 0.4138
LOC100144597 0.4138
LOC100144602 -0.3885
LOC100144603 0.1642
LOC100144604 -0.2423
KLLN -0.402
PDCD6IP -0.378
KRTAP20-4 0.0929
RNU4ATAC 0.0822
RNU6ATAC 0.4607
SCARNA9L 0.0673
PDCD6 0.9415
LOC100169752 0.0934
PATE3 -0.4273
PEG3-AS1 0.05
SNAR-A13 0.0658
DBIL5P2 0.0879
BCL2L10 -0.2471
SNAR-B2 0.0658
SNAR-C2 0.0658
SNAR-C4 0.0658
SNAR-E 0.0658
SNAR-H 0.0879
SNAR-I 0.6945
SNAR-C5 0.0658
SNAR-B1 0.0658
SNAR-C1 0.0658
SNAR-C3 0.0658
SNAR-D 0.0658
SNAR-G2 0.0658
SRRM5 0.0496
C19orf69 0.0496
C17orf96 0.0926
LOC100170939 0.1163
BCL2L11 0.0822
MIR1224 0.6673
MIR1225 0.3364
TOMM6 -0.3909
LOC100188947 -0.402
LINC00426 0.0909
LINC00092 0.4347
DNMBP-AS1 0.0934
DCTN1-AS1 0.0879
SH2B3 -0.0582
RAMP2-AS1 0.0818
TPT1-AS1 0.0909
LOC100190940 -0.2976
C5orf52 0.2747
LOC100190986 0.3182
C2CD4D 0.0932
LOC100192204 -0.421
ZFHX4-AS1 -0.2702
PP12613 -0.3832
FLJ16779 0.4138
FLJ41941 0.579
LOC100192426 0.2739
CDH4 0.4138
GNE 0.4294
HCN4 -0.2463
LOC100216001 -0.3871
LOC100216479 0.0822
LOC100216545 0.5733
LOC100216546 0.5733
INSL5 0.112
FRAT1 0.0934
PCED1B-AS1 0.1271
TROAP 0.1271
LOC100240734 0.1271
LOC100240735 0.1271
MED16 0.5126
PIGK 0.0967
LOC100268168 0.3392
LOC100270679 0.4155
LOC100270746 -0.3987
LOC100270804 0.4155
LOC100271702 -0.3827
ARHGEF33 0.0987
LOC100271722 0.1642
LOC100271832 0.0753
LOC100271836 0.3182
ERVV-2 0.0122
MEF2B 0.0441
AIRN 0.1179
ZNRF2P2 0.5951
MTCP1NB 0.0555
LOC100272216 0.1163
LOC100272217 0.4607
LOC100272228 0.0555
LOC100286793 0.1056
BCDIN3D-AS1 0.1271
LOC100286922 0.0849
VPS13A-AS1 0.4347
ANAPC1P1 0.0875
LOC100287010 0.1011
LOC100287015 0.3356
DDX11L10 0.3364
LOC100287036 -0.0714
LOC100287042 0.1086
DEFT1P2 0.3356
LINC00421 0.1041
LOC100287144 -0.3871
LOC100287177 0.0658
LOC100287178 -0.3871
LOC100287205 -0.3871
SH3RF3-AS1 0.1011
LOC100287225 -1.0198
ZNF729 0.0441
TIPARP-AS1 0.6914
LOC100287238 -0.3871
MANSC4 -1.2215
LOC100287314 -1.2215
LOC100287327 -0.3871
PRSS46 -0.378
LOC100287364 -0.3871
LOC100287404 -0.3871
PNMA6C 0.0555
LOC100287441 -0.3871
LOC100287478 -0.3871
LOC100287482 -0.3989
LOC100287513 -0.3871
LOC100287534 0.4644
ADPGK-AS1 -0.2463
LINC00173 -0.2976
LOXL1-AS1 -0.2463
LOC100287632 0.1179
LOC100287704 0.0632
LOC100287718 -0.3909
AP4B1-AS1 0.1056
LINC00630 0.0416
LOC100287792 0.3842
LINC00582 -0.2478
LOC100287846 0.4516
LOC100287879 -0.3697
TTC34 -0.3401
LGALS8-AS1 -0.3169
TIMM23 -0.3489
LOC100287944 -0.3932
GM140 -0.2546
LOC100288069 -0.3401
WTAPP1 -0.405
LOC100288079 -0.2546
LOC100288122 0.2739
LOC100288123 0.5126
LOC100288181 0.5355
LOC100288198 0.1179
KRTAP22-2 0.0929
KRTAP21-3 0.0929
LOC100288346 -0.4273
ERVMER34-1 -0.3885
LOC100288428 -0.1088
LOC100288432 0.0929
MTRNR2L7 0.465
LOC100288520 -0.3871
LOC100288524 0.6456
WHAMMP1 -1.9899
LOC100288637 -0.2762
PAN3-AS1 0.0909
LOC100288748 -0.2702
TMEM239 0.4424
FRG2C -0.3999
HYDIN2 0.1056
LOC100288814 0.0673
LOC100288842 0.4607
LOC100288846 -0.0549
LOC100288911 0.0987
LOC100288974 -0.402
MOXD2P -0.3989
LOC100289019 0.4607
LOC100289092 0.3182
LOC100289137 0.4051
FAM197Y5 -3.1075
GNG12-AS1 0.112
LOC100289187 0.5733
LINC00624 0.1056
LOC100289230 0.103
LINC00675 0.3252
LOC100289341 0.4791
LOC100289361 0.6914
UBAC2-AS1 0.0745
MCF2L-AS1 0.0745
DEFB4B -0.7159
LOC100289473 0.4424
LOC100289495 0.1179
LOC100289509 0.0934
LOC100289511 0.9696
LOC100289561 0.5733
ZNF605 -0.2127
LOC100289650 0.0496
LOC100289656 -0.2709
LOC100289673 0.103
ZNF783 -0.4107
LOC100292680 -0.3827
ZNF587B 0.05
LOC100293534 -0.3434
LOC100294145 -0.3906
LOC100294362 0.1086
NHEG1 0.1179
CDH5 -0.0896
MIR1284 -0.3999
MIR1200 0.5951
MIR1468 0.4588
MIR1265 -0.421
MIR320B1 0.1056
MIR1286 0.6298
MIR1538 -0.0896
MIR1276 -0.2501
MIR1275 -0.4089
MIR1288 0.3252
MIR1471 0.0849
MIR1470 0.0441
MIR1915 -0.4126
MIR302F 0.0525
MIR1182 -0.2478
MIR1287 0.0934
MIR1289-2 0.1066
MIR320C1 0.2807
MIR1252 -0.3354
MIR1914 0.4645
MIR1292 0.4424
MIR1537 -0.3169
MIR1913 0.1179
MIR1246 0.178
MIR1248 0.6945
MIR1912 0.0287
MIR1247 8e-04
MIR1249 0.1642
MIR1296 -0.402
MIR1298 0.0287
MIR1229 0.3392
MIR1185-1 8e-04
MIR1231 -0.2478
MIR548F3 0.1066
MIR1233-1 -0.1842
MIR1205 0.5355
MIR1278 -0.2546
MIR2113 0.1179
MIR1322 0.4071
MIR1257 0.4138
MIR320D2 5e-04
MIR1206 0.5355
MIR1258 0.178
MIR1307 0.0934
MIR1207 0.5355
MIR1295A -0.2546
MIR1270-1 0.0441
MIR1279 0.1271
MIR1272 -0.2525
MIR1204 0.5355
MIR548I3 0.3255
MIR1297 0.0909
MIR1243 -0.3711
MIR1976 -0.4153
MIR548I4 0.0555
MIR320C2 0.1773
MIR1234 0.5355
MIR1306 0.7457
MIR1228 0.1271
MIR1266 -0.2471
MIR548I1 -0.3965
MIR1283-2 0.0122
MIR1253 0.3247
MIR1185-2 8e-04
MIR1909 0.5126
MIR1203 0.0818
MIR1324 -0.3999
MIR1181 0.0441
MIR1277 0.0479
MIR1827 -0.3932
MIR1245A 0.1544
MIR1293 0.1271
MIR1291 0.1271
MIR1911 0.0287
MIR2110 0.0934
MIR2053 0.5355
MIR1238 0.0441
MIR1250 0.1086
MIR1226 -0.4081
MIR664 -0.2478
MIR1179 -0.2501
MIR1260A 0.9372
MIR1281 0.1642
MIR103B1 0.3392
MIR548F5 -0.8031
MIR1304 -0.405
MIR1236 -0.3434
MIR1972-1 -0.0896
MIR1301 0.0753
MIR1197 8e-04
MIR1264 0.0287
MIR1282 -0.2471
MIR1323 0.0122
MIR1180 0.1526
MIR1539 -1.0198
MIR1469 -0.2423
MIR2052 -0.2702
MIR1910 -0.0714
MIR1908 0.0739
MIR1283-1 0.0122
MIR2054 -0.3832
MIR1305 -0.3848
MIR1178 -0.2976
MIR548I2 -0.3909
MIR1262 0.112
MIR1237 0.5219
MIR1208 0.5355
MIR103B2 0.4424
MIR1227 0.0441
MIR1251 -0.3863
MIR1973 -0.3832
RASAL2-AS1 -0.2546
LOC100302640 -0.3803
BRE-AS1 0.0753
GPR75-ASB3 0.0781
LINC00184 -0.3169
FTX 0.4588
TMED7-TICAM2 0.103
PCNA-AS1 0.4424
FAS-AS1 -0.402
SNORA80B 0.0753
NCRUPAR 0.103
TSNAX-DISC1 -0.2478
ZEB2-AS1 0.1643
SLC25A5-AS1 0.0479
LOC100303749 0.1157
PET117 0.4155
PITPNA-AS1 0.3247
NDUFAF4P1 -0.2471
OTX2-AS1 0.803
SPDYE2L 0.5733
MIR320B2 -0.2478
MIR548K 1.7669
MIR548F2 0.0894
MIR548M 0.4588
MIR670 -0.0084
MIR759 0.0909
MIR2117 0.0818
MIR2278 0.4347
MIR718 0.0555
MIR663B 0.0822
MIR762 0.3182
MIR764 0.0287
MIR2114 0.0555
MIR548Q 0.0934
MIR2276 0.0909
MIR711 -0.4081
MIR548H4 -0.3111
MIR2116 -0.2525
MIR2277 0.103
MIR761 0.112
MIR548F4 -0.4107
MIR320D1 0.0909
MIR548J 0.1658
MIR449C 0.129
MIR548G -0.3711
HOTTIP 0.6456
SAP25 0.5733
GCSHP3 0.0894
TRPC5OS 0.0287
LOC100335030 0.1271
SNORA70F 0.178
CSN1S2BP -0.3711
LINC00102 0.0111
CHAF1A 0.0441
SNORA70G 0.1271
SNORA70D -0.0896
MACROD2-AS1 0.4155
TMED11P -0.3948
LOC100379224 0.0496
BOK-AS1 0.0849
SNORA70E -0.405
NPPA-AS1 -0.4209
MIR181A2HG 0.4607
BACE1-AS -0.4273
GRIK1-AS2 0.0805
PARP2 -0.0549
ZBED6 -0.2478
PARP3 -0.4081
CDH6 1.0112
TOM1L1 0.0818
LOC100419868 0.465
HMGXB4 0.1658
LOC100422737 0.1179
MIR4300 -0.405
MIR3128 0.178
MIR3160-2 -0.0084
MIR4274 -0.3871
MIR3160-1 -0.0084
MIR4287 -0.386
MIR4319 -1.0198
MIR3191 0.0658
MIR3188 0.0441
MIR3183 0.3247
MIR1193 8e-04
MIR3119-1 -0.2546
MIR4317 0.2739
MIR3074 0.4347
MIR1233-2 -0.1842
MIR514B 0.0555
MIR548T -0.3832
MIR4316 0.1086
MIR3182 -1.0227
MIR3187 0.5126
MIR4301 -0.4273
MIR3123 -0.4243
MIR4318 -1.0198
MIR4285 0.5733
MIR3136 -0.3999
MIR4292 0.4791
MIR4306 0.0745
MIR4265 0.1011
MIR4320 -1.0198
MIR3115 -0.3993
MIR378C 0.0934
MIR4270 -0.1088
MIR3152 -0.4251
MIR3117 0.112
MIR4297 0.0934
MIR4279 1.0112
MIR3192 0.4155
MIR3148 -0.386
MIR3202-2 0.0555
MIR3124 -0.4769
MIR3162 0.0739
MIR3170 0.0745
MIR3120 -0.2546
MIR4325 0.4138
MIR4280 0.103
MIR4264 0.0879
MIR3194 0.3842
MIR4327 0.0929
MIR3157 0.0934
MIR3154 0.4607
MIR4260 -0.2478
MIR4294 -0.446
MIR3140 -0.4121
MIR4302 -0.3905
MIR4255 0.0605
MIR3190 0.0658
MIR3158-1 0.0934
MIR4288 -0.386
MIR3193 0.3842
MIR4311 -0.2463
MIR3156-2 0.2807
MIR3129 0.1544
MIR4295 0.0934
MIR2861 0.4607
MIR500B -0.772
MIR3200 0.1658
MIR320E 0.0658
MIR4253 -0.3993
MIR3065 0.1086
MIR3201 0.1642
MIR3167 -0.4273
MIR1972-2 -0.0896
MIR548W -0.0896
MIR4303 -0.3863
MIR4322 0.0441
MIR4291 0.4347
MIR3127 0.0602
MIR4261 0.0753
MIR4330 0.0555
MIR4304 -0.2976
MIR4328 0.4588
MIR3143 -0.3987
MIR3153 0.4347
MIR4275 -0.3783
MIR3142 0.2747
MIR3147 0.6378
MIR4305 0.0909
MIR4272 -0.4094
MIR3189 0.0441
MIR3186 0.1086
MIR4326 0.4138
MIR3122 -0.2478
MIR4284 0.0303
MIR3141 0.2747
MIR4271 -0.4081
MIR3165 -0.4318
MIR4309 8e-04
MIR4273 -0.3999
MIR3131 0.0894
MIR4268 0.0894
MIR4281 0.3392
MIR4290 0.4347
MIR3150A -0.2702
MIR4263 0.0753
MIR4277 0.9142
MIR3146 0.6456
MIR4251 -0.3401
MIR2909 0.0926
MIR4312 -0.2463
MIR3169 0.0745
MIR3178 0.3364
MIR4252 -0.4209
MIR4256 0.1056
MIR3185 0.0818
MIR4324 0.0658
MIR4323 0.0496
MIR3173 8e-04
MIR4314 0.3252
MIR4308 0.803
MIR3125 0.0753
MIR3202-1 0.0555
MIR3156-1 -0.4511
MIR3155A -0.3871
MIR3134 -1.2572
MIR1260B -0.405
MIR3151 0.4948
MIR3130-1 0.0894
MIR4267 0.0822
MIR3175 -0.2423
MIR4262 0.0753
MIR4257 0.0932
MIR3199-2 0.1658
MIR4278 0.9142
MIR3145 0.1179
MIR3130-2 0.0894
MIR3184 0.1526
MIR4282 0.1213
MIR4329 0.0287
MIR3119-2 -0.2546
MIR3138 -0.3909
MIR3177 0.3364
MIR4310 -0.2471
MIR3196 0.4138
MIR4289 0.4347
MIR3156-3 0.0805
MIR4307 -0.0549
MIR4258 0.0848
MIR4298 -0.1455
MIR3197 -0.4108
MIR1270-2 0.0441
MIR3198-1 0.579
MIR4299 -0.1712
MIR4266 0.1011
MIR4254 -0.4153
MIR3126 0.0879
MIR4321 0.0441
MIR3121 -0.2546
MIR3158-2 0.0934
MIR3199-1 0.1658
MIR4313 -0.2463
MIR2355 0.0894
MIR3176 0.3364
MIR3132 0.0894
MIR4296 0.0934
MIR4276 -0.3848
MIR4269 0.0849
IGLL5 0.6452
TOM1 0.1658
KLRF2 -0.393
SH2D3C 0.4607
SH2D3A 0.0441
MAMLD1 0.0555
MINOS1P1 0.0909
MTRNR2L1 0.1526
MTRNR2L2 0.103
MTRNR2L3 0.4138
MTRNR2L4 0.3364
MTRNR2L5 -0.338
MTRNR2L6 -0.3989
MTRNR2L8 -0.1712
MTRNR2L10 -0.7532
CST8 0.4155
RANBP9 -0.4
DNAJB6 -0.3844
LOC100498859 0.6914
THAP9-AS1 -0.3711
LOC100499183 0.4948
LOC100499194 0.0822
LOC100499227 -0.4273
LOC100499405 -0.4107
LINC00674 0.0803
LINC00673 0.1086
C9orf174 0.4347
LOC100499484 0.4347
LOC100499489 -0.4126
CDH7 -1.0198
SLC17A4 -0.4141
LOC100500773 -0.2702
MIR3659 0.0605
MIR3685 -0.3863
MIR3919 0.6914
MIR3654 0.0632
MIR3607 0.103
MIR374C 0.4588
MIR3917 -0.4287
MIR23C 0.0673
MIR3620 -0.2478
MIR3621 0.4791
MIR3677 0.3364
MIR3646 0.3842
MIR3616 0.3842
MIR3649 -0.3827
MIR3612 -0.2976
MIR3945 -0.3848
MIR3609 0.5733
MIR3655 0.1066
MIR3910-1 0.4347
MIR3920 -0.405
MIR3650 1.0112
MIR3660 0.103
MIR3909 0.1658
MIR3614 0.0818
MIR3619 0.1642
MIR3943 0.6395
MIR550B2 0.5951
MIR3912 0.3392
MIR3658 -0.2624
MIR3653 0.1658
MIR3924 -0.3379
MIR3907 -0.4164
MIR3914-1 0.0303
MIR3606 0.1544
MIR3926-2 0.3545
MIR3656 -0.4273
MIR3678 0.1086
MIR3652 -0.3932
MIR3922 -0.3932
MIR3664 1.7669
MIR642B 0.0658
MIR3689A 0.4607
MIR3615 0.1086
MIR3916 -0.4243
MIR3682 0.0781
MIR3918 0.1179
MIR3180-4 0.3433
MIR3605 -0.4153
MIR3671 0.112
MIR548Z 0.1271
MIR3939 0.1179
MIR3622A -0.386
MIR3921 -0.3803
MIR3618 0.7457
MIR3665 0.0745
MIR548AA1 -0.2702
MIR3936 0.1066
MIR3941 0.0934
MIR3684 -0.3711
MIR3913-2 0.1271
MIR3926-1 0.3545
MIR3622B -0.386
MIR3911 0.4607
MIR3938 -0.4077
MIR3679 0.0921
MIR3668 0.1179
MIR3662 0.1179
